,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,acc_year,acc_month,acc_hr_day,new_date,day_name
2229087,A-2229127,MapQuest,241.0,2,2017-11-02 18:32:48,2017-11-02 19:17:34,40.782818,-73.943871,0.0,Right lane blocked due to accident on FDR Dr Northbound after Exit 14 F D R Dr.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2017-11-02 18:51:00,66.9,,76.0,30.19,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,2017,11,18,2017-11-02,Thursday
2231318,A-2231358,MapQuest,201.0,4,2017-11-03 06:53:55,2017-11-03 07:23:26,40.850066999999996,-73.944817,0.629999995232,Main roadway closed due to accident on I-95 George Washington Brg Southbound from Mid Span Upper Level to Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-03 06:51:00,64.0,,80.0,30.07,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2017,11,6,2017-11-03,Friday
2231382,A-2231422,MapQuest,201.0,2,2017-11-03 11:07:26,2017-11-03 11:36:04,40.751831,-73.96504200000001,0.0,Right lane blocked due to accident on FDR Dr Southbound near Exit 10 49th St.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2017-11-03 10:51:00,68.0,,70.0,30.04,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2017,11,11,2017-11-03,Friday
2231387,A-2231427,MapQuest,201.0,3,2017-11-03 11:47:23,2017-11-03 12:16:40,40.849945,-73.944168,1.65999996662,Right lane blocked due to accident on I-95 George Washington Brg Northbound between Exits 73 74 Palisades Interstate Pkwy and Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-03 11:51:00,70.0,,65.0,30.03,10.0,WSW,8.1,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,11,2017-11-03,Friday
2231394,A-2231434,MapQuest,245.0,2,2017-11-03 13:33:07,2017-11-03 14:17:30,40.769531,-73.948357,0.0,Two lanes blocked due to accident on FDR Dr Northbound after 78th St.,,FDR Dr S,R,New York,New York,NY,10075,US,US/Eastern,KNYC,2017-11-03 13:51:00,73.0,,57.0,29.97,10.0,North,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,13,2017-11-03,Friday
2231452,A-2231492,MapQuest,241.0,2,2017-11-03 19:54:24,2017-11-03 20:39:04,40.80127,-73.929916,0.0,Right lane blocked due to accident on FDR Dr Northbound before Exits 17 18 19 Harlem River Dr.,,Robert F Kennedy Bridge,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2017-11-03 19:51:00,62.1,,65.0,30.1,10.0,WNW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2017,11,19,2017-11-03,Friday
2234942,A-2234982,MapQuest,241.0,3,2017-11-06 06:44:43,2017-11-06 07:12:06,40.850066999999996,-73.944817,1.60000002384,Left lane blocked due to accident on I-95 George Washington Bridge Mid Span Lower Level Southbound between Exits 73 74 Palisades Interstate Pkwy and Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-06 06:51:00,62.1,,93.0,29.92,9.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,6,2017-11-06,Monday
2235035,A-2235075,MapQuest,201.0,2,2017-11-06 11:25:43,2017-11-06 11:55:32,40.811001,-73.93465400000001,0.0,Accident on Harlem River Dr at Exits 20 21 135th St.,,Harlem River Dr N,R,New York,New York,NY,10037,US,US/Eastern,KNYC,2017-11-06 11:16:00,64.9,,78.0,29.93,9.0,North,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,11,2017-11-06,Monday
2235038,A-2235078,MapQuest,241.0,2,2017-11-06 11:49:43,2017-11-06 12:19:01,40.742228999999995,-73.997002,0.0,Right lane blocked due to accident on 20th St Southbound at 7th Ave.,171.0,7th Ave,R,New York,New York,NY,10011-1804,US,US/Eastern,KNYC,2017-11-06 11:51:00,64.9,,81.0,29.9,9.0,Variable,3.5,,Overcast,True,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2017,11,11,2017-11-06,Monday
2235044,A-2235084,MapQuest,222.0,3,2017-11-06 12:52:06,2017-11-06 13:20:39,40.84993,-73.944366,0.0,Queueing traffic and two left lane blocked due to accident on I-95 George Washington Brg Northbound at Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-06 12:51:00,64.9,,78.0,29.88,10.0,Variable,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,12,2017-11-06,Monday
2235100,A-2235140,MapQuest,241.0,2,2017-11-06 18:29:16,2017-11-06 19:14:01,40.714493,-73.976715,0.0,Left lane blocked due to accident on FDR Dr Southbound around Exit 4 Grand St.,,FDR Dr S,R,New York,New York,NY,10009,US,US/Eastern,KJRB,2017-11-06 18:35:00,60.8,,63.0,,10.0,Variable,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2017,11,18,2017-11-06,Monday
2235114,A-2235154,MapQuest,241.0,2,2017-11-06 19:36:58,2017-11-06 20:21:34,40.790394,-73.936745,0.0,One lane blocked due to accident on FDR Dr Northbound before Exit 15 F D R Dr.,,FDR Dr S,R,New York,New York,NY,10029,US,US/Eastern,KNYC,2017-11-06 19:51:00,54.0,,69.0,30.04,10.0,NW,9.2,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2017,11,19,2017-11-06,Monday
2237203,A-2237243,MapQuest,241.0,3,2017-11-07 06:39:09,2017-11-07 07:08:28,40.850066999999996,-73.944817,1.60000002384,Left lane blocked due to accident on I-95 George Washington Bridge New York Side Upper Level Southbound between Exits 73 74 Palisades Interstate Pkwy and Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-07 06:51:00,43.0,38.8,65.0,30.19,10.0,NE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,6,2017-11-07,Tuesday
2237254,A-2237294,MapQuest,241.0,3,2017-11-07 09:08:37,2017-11-07 09:38:12,40.851543,-73.95208000000001,0.0,2 right lane blocked due to accident on I-95 George Washington Brg Southbound near Mid-Span Upper Level.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-07 08:51:00,46.0,40.6,58.0,30.21,10.0,ENE,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,9,2017-11-07,Tuesday
2239311,A-2239351,MapQuest,201.0,2,2017-11-08 08:07:22,2017-11-08 08:37:04,40.846149,-73.932335,0.0,Accident School Bus involved on 178th St at Amsterdam Ave.,500.0,W 178th St,L,New York,New York,NY,10033-6502,US,US/Eastern,KNYC,2017-11-08 07:51:00,39.9,35.8,77.0,30.27,10.0,Variable,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2017,11,8,2017-11-08,Wednesday
2239349,A-2239389,MapQuest,201.0,3,2017-11-08 10:14:16,2017-11-08 10:43:40,40.849663,-73.94274899999999,1.7799999713900003,Left and left-center lane blocked due to accident on I-95 George Washington Brg Northbound between Exits 73 74 Palisades Interstate Pkwy and Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-08 09:51:00,43.0,39.5,71.0,30.27,10.0,Variable,5.8,,Overcast,False,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,10,2017-11-08,Wednesday
2239361,A-2239401,MapQuest,201.0,2,2017-11-08 11:57:26,2017-11-08 12:27:10,40.80127,-73.929916,0.0,Right lane blocked due to accident on Harlem River Dr Southbound before Exit 17 FDR Dr.,,Robert F Kennedy Bridge,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2017-11-08 11:51:00,46.9,,66.0,30.25,10.0,Variable,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,11,2017-11-08,Wednesday
2239423,A-2239463,MapQuest,241.0,2,2017-11-08 18:48:09,2017-11-08 19:32:57,40.718971,-73.974968,0.0,Left lane blocked due to accident on FDR Dr Northbound after Exit 5 Houston St.,592.0,E Houston St,L,New York,New York,NY,10002-1118,US,US/Eastern,KJRB,2017-11-08 18:55:00,50.0,,71.0,,10.0,NNE,13.8,0.01,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2017,11,18,2017-11-08,Wednesday
2241718,A-2241758,MapQuest,241.0,3,2017-11-09 07:35:50,2017-11-09 08:05:17,40.850066999999996,-73.944817,0.0,Right lane blocked due to accident on I-95 George Washington Brg Southbound at Lower Trans Manhattan Expy.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-09 07:51:00,43.0,41.3,82.0,30.24,10.0,Variable,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,7,2017-11-09,Thursday
2241775,A-2241815,MapQuest,201.0,2,2017-11-09 11:14:05,2017-11-09 11:43:04,40.815041,-73.934212,0.0,Lane blocked on exit ramp due to accident on Harlem River Dr Southbound at Madison Avenue Bridge.,,Harlem River Dr N,R,New York,New York,NY,10037,US,US/Eastern,KNYC,2017-11-09 10:51:00,50.0,,59.0,30.18,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,11,2017-11-09,Thursday
2241833,A-2241873,MapQuest,241.0,2,2017-11-09 18:34:13,2017-11-09 19:18:56,40.838749,-73.933235,0.0,Center lane blocked due to accident on Harlem River Dr Northbound at Exit 23.,,Harlem River Dr N,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-09 18:51:00,52.0,,74.0,30.03,10.0,SSE,4.6,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2017,11,18,2017-11-09,Thursday
2244259,A-2244299,MapQuest,241.0,2,2017-11-10 05:04:13,2017-11-10 05:33:59,40.76228,-73.97234300000001,0.0,Left lane blocked due to accident on 57th St Westbound at Madison Ave.,593.0,Madison Ave,R,New York,New York,NY,10022-1901,US,US/Eastern,KNYC,2017-11-10 04:51:00,45.0,,60.0,29.99,10.0,North,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2017,11,5,2017-11-10,Friday
2244274,A-2244314,MapQuest,241.0,3,2017-11-10 07:09:17,2017-11-10 07:38:42,40.850066999999996,-73.944817,0.0,Left lane blocked due to accident on I-95 George Washington Bridge Southbound at Lower Trans Manhattan Expy.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-10 06:51:00,37.9,,53.0,30.09,10.0,North,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,7,2017-11-10,Friday
2244276,A-2244316,MapQuest,201.0,2,2017-11-10 07:12:04,2017-11-10 07:42:04,40.723675,-74.003624,0.0,Accident on Thompson St Westbound at Broome St.,517.0,Broome St,L,New York,New York,NY,10013-1647,US,US/Eastern,KJRB,2017-11-10 06:56:00,42.1,39.2,58.0,,10.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2017,11,7,2017-11-10,Friday
2244305,A-2244345,MapQuest,201.0,3,2017-11-10 09:38:13,2017-11-10 10:07:53,40.849682,-73.942848,1.7799999713900003,Left and left-center lane blocked due to accident on I-95 George Washington Brg Northbound between Exits 73 74 Palisades Interstate Pkwy and Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-10 09:51:00,36.0,26.7,43.0,30.2,10.0,WNW,15.0,,Partly Cloudy,False,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,9,2017-11-10,Friday
2244326,A-2244366,MapQuest-Bing,241.0,2,2017-11-10 14:17:51,2017-11-10 15:02:35,40.81155,-73.934776,0.0,Right lane blocked due to accident on Harlem River Dr Southbound at Exits 20 21 135th St.,,Harlem River Dr S,R,New York,New York,NY,10037,US,US/Eastern,KNYC,2017-11-10 13:51:00,35.1,28.6,31.0,30.25,10.0,NW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,14,2017-11-10,Friday
2246864,A-2246904,MapQuest,245.0,2,2017-11-12 01:29:22,2017-11-12 01:58:24,40.7388,-74.01003299999999,0.0,Two lanes blocked due to accident on NY-9A West St Southbound at NY-9A West St / Horatio Street.,,10th Ave,R,New York,New York,NY,10014,US,US/Eastern,KJRB,2017-11-12 01:35:00,37.4,32.8,60.0,,10.0,West,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2017,11,1,2017-11-12,Sunday
2246865,A-2246905,MapQuest,201.0,2,2017-11-12 06:33:23,2017-11-12 07:02:55,40.801788,-73.930161,0.0,Left lane blocked due to accident on Harlem River Dr Southbound at Exit 17 FDR Dr.,,FDR Dr S,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2017-11-12 06:51:00,34.0,,61.0,30.5,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2017,11,6,2017-11-12,Sunday
2246878,A-2246918,MapQuest,201.0,2,2017-11-12 12:53:28,2017-11-12 13:36:36,40.710155,-74.00138100000001,0.8100000023839999,Entry ramp to F D R Dr Northbound from Brooklyn Brg Northbound lane blocked due to accident.,,Brooklyn Bridge,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2017-11-12 12:55:00,48.2,,34.0,,10.0,Calm,,10.0,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2017,11,12,2017-11-12,Sunday
2247448,A-2247488,MapQuest,241.0,3,2017-11-13 05:26:31,2017-11-13 05:55:51,40.851543,-73.95208000000001,0.0,Right lane blocked due to accident on I-95 George Washington Brg Southbound at Mid Span Lower Level.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-13 05:51:00,44.1,40.8,63.0,30.33,10.0,ENE,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2017,11,5,2017-11-13,Monday
2247476,A-2247516,MapQuest,201.0,2,2017-11-13 07:21:00,2017-11-13 07:50:35,40.828236,-73.935234,0.0,Accident on Harlem River Dr Northbound near 155th St.,,Harlem River Dr,R,New York,New York,NY,10039,US,US/Eastern,KNYC,2017-11-13 06:51:00,44.1,41.5,63.0,30.33,10.0,NE,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2017,11,7,2017-11-13,Monday
2247515,A-2247555,MapQuest,241.0,2,2017-11-13 08:48:20,2017-11-13 09:17:46,40.841846000000004,-73.93160999999999,0.0,Left and center lane blocked due to accident on Harlem River Dr Southbound at 166th St.,,Harlem River Dr S,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-13 08:51:00,42.1,39.2,82.0,30.34,6.0,Variable,4.6,0.02,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,8,2017-11-13,Monday
2247534,A-2247574,MapQuest,245.0,2,2017-11-13 09:56:37,2017-11-13 10:26:48,40.841846000000004,-73.93160999999999,0.0,Two lanes blocked due to accident on Harlem River Dr Southbound near Exit 24.,,Harlem River Dr S,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-13 09:51:00,42.1,39.2,82.0,30.35,5.0,Variable,4.6,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,9,2017-11-13,Monday
2247549,A-2247589,MapQuest,241.0,3,2017-11-13 11:13:53,2017-11-13 11:43:21,40.724509999999995,-74.00702700000001,2.58999991417,Lane blocked due to accident on I-78 Holland Tunl Eastbound between Provost St and Broome St.,578.0,Broome St,L,New York,New York,NY,10013-1402,US,US/Eastern,KJRB,2017-11-13 11:15:00,46.4,40.7,81.0,,10.0,NNE,12.7,9.99,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,11,2017-11-13,Monday
2247581,A-2247621,MapQuest,241.0,2,2017-11-13 14:41:13,2017-11-13 15:25:53,40.748028000000005,-73.96817,0.0,Left lane blocked due to accident on FDR Dr Northbound near Exits 8 9 Franklin Delano Roosevelt Drive Service Rd.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2017-11-13 14:51:00,46.9,,68.0,30.27,10.0,Variable,6.9,,Overcast,False,False,False,False,True,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2017,11,14,2017-11-13,Monday
2247591,A-2247631,MapQuest,241.0,2,2017-11-13 16:24:11,2017-11-13 17:08:59,40.834126,-73.949951,0.0,Right lane blocked due to accident on Henry Hudson Pkwy Northbound at Exit 13 Marginal St.,,Marginal St,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-13 16:51:00,46.0,,68.0,30.27,10.0,North,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,16,2017-11-13,Monday
2249898,A-2249938,MapQuest,241.0,2,2017-11-14 05:23:08,2017-11-14 05:52:51,40.748028000000005,-73.96817,0.0,Left lane blocked due to accident on FDR Dr Northbound at 42nd St.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2017-11-14 05:51:00,36.0,33.3,79.0,30.31,10.0,Variable,3.5,,Clear,False,False,False,False,True,False,False,False,False,True,False,False,False,Night,Night,Night,Day,2017,11,5,2017-11-14,Tuesday
2249954,A-2249994,MapQuest,201.0,2,2017-11-14 08:53:43,2017-11-14 09:23:31,40.799071999999995,-73.974976,0.0,Accident on Henry Hudson Pkwy Northbound at 96th St.,,Henry Hudson Pkwy N,R,New York,New York,NY,10024,US,US/Eastern,KNYC,2017-11-14 08:51:00,41.0,37.1,70.0,30.34,10.0,Variable,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,8,2017-11-14,Tuesday
2252192,A-2252232,MapQuest,201.0,2,2017-11-15 07:56:30,2017-11-15 08:26:23,40.872303,-73.912689,0.0,Accident on US-9 Broadway at 220th St.,5136.0,Broadway,R,New York,New York,NY,10034-1111,US,US/Eastern,KLGA,2017-11-15 07:51:00,39.9,34.5,68.0,30.32,10.0,NE,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2017,11,7,2017-11-15,Wednesday
2252243,A-2252283,MapQuest,201.0,2,2017-11-15 10:25:56,2017-11-15 10:55:45,40.782818,-73.943871,0.0,Accident on FDR Dr at Exit 14 F D R Dr.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2017-11-15 10:51:00,44.1,40.1,68.0,30.27,10.0,ENE,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2017,11,10,2017-11-15,Wednesday
2252271,A-2252311,MapQuest,201.0,2,2017-11-15 14:44:28,2017-11-15 15:29:22,40.746613,-73.993782,0.0,Accident on 7th Ave at 27th St.,298.0,7th Ave,L,New York,New York,NY,10001-6735,US,US/Eastern,KNYC,2017-11-15 14:51:00,48.0,,58.0,30.17,10.0,East,3.5,,Overcast,True,False,False,False,False,False,True,False,True,False,False,True,False,Day,Day,Day,Day,2017,11,14,2017-11-15,Wednesday
2254627,A-2254667,MapQuest,201.0,2,2017-11-16 05:14:13,2017-11-16 05:44:02,40.713268,-73.977577,0.0,Accident on FDR Dr Southbound at Grand St.,472.0,FDR Dr,L,New York,New York,NY,10002-5902,US,US/Eastern,KJRB,2017-11-16 05:15:00,53.6,,82.0,,6.0,SSW,9.2,,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2017,11,5,2017-11-16,Thursday
2254631,A-2254671,MapQuest,201.0,2,2017-11-16 05:21:12,2017-11-16 05:51:02,40.788361,-73.974525,0.0,Accident on 87th St at Amsterdam Ave.,198.0,W 87th St,L,New York,New York,NY,10024-2901,US,US/Eastern,KNYC,2017-11-16 05:13:00,51.1,,89.0,29.93,4.0,North,,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2017,11,5,2017-11-16,Thursday
2254632,A-2254672,MapQuest,241.0,3,2017-11-16 05:27:09,2017-11-16 05:55:45,40.850066999999996,-73.944817,0.0,Right lane blocked due to accident on I-95 George Washington Brg Southbound near Exit 1 Henry Hudson Pkwy.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-16 05:32:00,50.0,,96.0,29.93,2.0,Variable,3.5,0.08,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2017,11,5,2017-11-16,Thursday
2254639,A-2254679,MapQuest,201.0,2,2017-11-16 06:09:56,2017-11-16 06:39:45,40.718971,-73.974968,0.0,Accident on FDR Dr Northbound at Exit 5 Houston St.,592.0,E Houston St,L,New York,New York,NY,10002-1118,US,US/Eastern,KJRB,2017-11-16 06:05:00,53.6,,88.0,,10.0,SSW,10.4,0.0,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,2017,11,6,2017-11-16,Thursday
2254660,A-2254700,MapQuest,246.0,2,2017-11-16 06:41:15,2017-11-16 07:10:37,40.769897,-73.994553,0.0,Three lanes blocked due to accident on NY-9A 12th Ave Southbound at West 57th St.,,Joe DiMaggio Hwy,R,New York,New York,NY,10019,US,US/Eastern,KNYC,2017-11-16 06:48:00,51.8,,88.0,29.91,5.0,Variable,5.8,0.08,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day,2017,11,6,2017-11-16,Thursday
2254675,A-2254715,MapQuest,246.0,2,2017-11-16 07:22:21,2017-11-16 07:51:49,40.769897,-73.994553,0.0,Three lanes blocked due to accident on NY-9A 12th Ave Southbound near 57th St.,,Joe DiMaggio Hwy,R,New York,New York,NY,10019,US,US/Eastern,KNYC,2017-11-16 06:58:00,51.1,,92.0,29.9,5.0,WSW,4.6,0.01,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2017,11,7,2017-11-16,Thursday
2257217,A-2257257,MapQuest,201.0,2,2017-11-17 17:19:05,2017-11-17 18:03:57,40.787659000000005,-73.981148,0.0,Accident on Riverside Dr at 83rd St.,110.0,Riverside Dr,R,New York,New York,NY,10024-4822,US,US/Eastern,KNYC,2017-11-17 16:51:00,45.0,,29.0,30.07,10.0,North,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,2017,11,17,2017-11-17,Friday
2257239,A-2257279,MapQuest,241.0,2,2017-11-17 19:33:02,2017-11-17 20:17:42,40.731255,-73.973656,0.0,One lane blocked due to accident on FDR Dr Southbound after Exit 7 Avenue C.,,FDR Dr N,R,New York,New York,NY,10009,US,US/Eastern,KJRB,2017-11-17 19:15:00,44.6,43.1,39.0,,10.0,SW,3.5,,Clear,True,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2017,11,19,2017-11-17,Friday
2259097,A-2259137,MapQuest,201.0,3,2017-11-18 03:22:38,2017-11-18 03:50:40,40.850066999999996,-73.944817,0.0,Right lane blocked due to accident on I-95 George Washington Brg Northbound at Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2017-11-18 03:51:00,36.0,,46.0,29.99,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2017,11,3,2017-11-18,Saturday
2259807,A-2259847,MapQuest,201.0,2,2017-11-19 01:18:51,2017-11-19 01:48:04,40.735397,-73.974899,0.0,Left lane blocked due to accident on FDR Dr at 23rd St / FDR Dr.,,FDR Dr N,R,New York,New York,NY,10009,US,US/Eastern,KJRB,2017-11-19 01:15:00,57.2,,82.0,,10.0,WSW,8.1,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2017,11,1,2017-11-19,Sunday
2259816,A-2259856,MapQuest,201.0,2,2017-11-19 06:34:14,2017-11-19 07:02:54,40.834438,-73.94986,0.0,Right lane blocked due to accident on Henry Hudson Pkwy Southbound at 158th St.,,Marginal St,R,New York,New York,NY,10031,US,US/Eastern,KNYC,2017-11-19 06:51:00,57.0,,89.0,29.22,7.0,Variable,5.8,0.02,Light Rain,False,False,False,False,False,False,False,False,False,True,False,True,False,Night,Day,Day,Day,2017,11,6,2017-11-19,Sunday
2259845,A-2259885,MapQuest,201.0,2,2017-11-19 19:14:34,2017-11-19 19:43:29,40.710910999999996,-74.002769,0.0,Left lane blocked due to accident on Brooklyn Bridge Eastbound at Brooklyn Brg.,,Brooklyn Bridge,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2017-11-19 19:15:00,48.2,,46.0,,10.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2017,11,19,2017-11-19,Sunday
2260523,A-2260563,MapQuest,241.0,3,2017-11-20 05:47:05,2017-11-20 06:16:03,40.848686,-73.93735500000001,0.0,Right lane blocked due to accident on I-95 George Washington Bridge Northbound at Lower Trans Manhattan Expy.,,I-95 S,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2017-11-20 04:51:00,37.0,32.4,59.0,29.93,10.0,Variable,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Day,Day,2017,11,5,2017-11-20,Monday
2260566,A-2260606,MapQuest,201.0,2,2017-11-20 08:22:55,2017-11-20 08:52:42,40.747589000000005,-73.968559,0.0,Accident on FDR Dr Southbound near 41st St.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2017-11-20 09:51:00,39.9,33.9,53.0,30.04,10.0,West,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,11,8,2017-11-20,Monday
2263203,A-2263243,MapQuest,201.0,2,2017-11-21 06:32:24,2017-11-21 07:01:59,40.782818,-73.943871,0.0,Accident on FDR Dr Southbound near 97th St.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2017-11-21 06:51:00,43.0,,58.0,30.13,10.0,North,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day,2017,11,6,2017-11-21,Tuesday
